Date,Open,High,Low,Close,Volume
4/3/2019,321,333.5,320,330,11218
4/8/2019,336,337.5,324,324.5,10469
4/9/2019,326,336,323.5,330,13289
4/10/2019,330.5,330.5,327,329,6021
4/11/2019,333,337.5,328,329,10293
4/12/2019,334,334,325.5,326,5614
4/15/2019,329.5,332.5,328.5,330.5,4727
4/16/2019,333,335,330,332.5,6642
4/17/2019,336,348.5,335.5,345,20766
4/18/2019,348,350,330.5,331,17753
4/19/2019,335,335,326.5,333.5,8432
4/22/2019,336,337,327,327.5,7644
4/23/2019,327.5,327.5,319,321.5,8115
4/24/2019,323,323.5,318,319.5,6117
4/25/2019,305,321.5,303,321.5,13979
4/26/2019,317,323.5,314,319,7239
4/29/2019,313,315.5,299,300.5,16422
4/30/2019,300.5,305,298.5,304.5,6408
5/2/2019,304,304.5,300,303.5,4797
5/3/2019,302.5,304,295,300,9113
5/6/2019,292,296.5,291,293.5,7326
5/7/2019,295,298.5,293,293,6084
5/8/2019,290,294.5,286,294.5,8894
5/9/2019,292,293.5,285.5,286,6597
5/10/2019,285,290.5,278,280.5,14670
5/13/2019,281.5,282.5,259.5,259.5,14722
5/14/2019,250.5,262.5,248,258,15455
5/15/2019,260,264,258.5,259,7300
5/16/2019,259,260.5,246.5,249,10567
5/17/2019,251.5,254,247.5,249.5,9691
5/20/2019,253.5,255.5,249.5,251.5,5257
5/21/2019,250,258,248,258,7281
5/22/2019,260,261.5,253.5,253.5,5719
5/23/2019,248,249,240.5,244.5,10660
5/24/2019,245.5,248,242,242,4858
5/27/2019,245,246.5,241.5,245,4140
5/28/2019,247,247.5,243.5,245.5,3762
5/29/2019,243,255,242.5,255,9218
5/30/2019,256,258.5,251,251,7479
5/31/2019,251,261,250.5,261,7985
6/3/2019,260.5,264,257,262,6644
6/4/2019,263,267,262.5,263.5,6339
6/5/2019,268,271,254,256,13503
6/6/2019,255,255,245,245,9531
6/10/2019,250,251.5,247.5,251,5584
6/11/2019,251,252.5,245.5,251.5,6730
6/12/2019,250,253,246.5,249,5340
6/13/2019,247.5,249.5,245.5,247,3064
6/14/2019,248,252.5,247.5,251,5272
6/17/2019,254,261,252,261,8822
6/18/2019,263,263.5,256.5,258,6366
6/19/2019,263,265.5,261,264,7796
6/20/2019,265.5,275,265.5,270,13925
6/21/2019,271,273,264.5,267.5,6924
6/24/2019,268,271,265.5,271,4194
6/25/2019,269,271,263,263.5,5605
6/26/2019,264,266.5,263,266,2887
6/27/2019,264.5,270.5,264.5,267.5,4954
6/28/2019,268,269.5,263,264,4502
7/1/2019,270,273,269.5,272.5,7719
7/2/2019,272.5,274.5,270,271.5,5622
7/3/2019,271.5,273.5,269.5,270,5253
7/4/2019,273,281,271.5,277,10999
7/5/2019,279,280.5,275,278,5820
7/8/2019,278,279,274,275,4154
7/9/2019,270,270.5,264,264,7710
7/10/2019,266,269.5,265,269,3723
7/11/2019,271.5,274,270,271.5,4114
7/12/2019,272,273.5,270,273.5,2510
7/15/2019,271,271,264,267.5,6965
7/16/2019,269,272,268,269.5,4600
7/17/2019,270,271,266,267,3973
7/18/2019,265.5,267,258.5,259,6235
7/19/2019,261.5,262.5,256.5,257.5,4320
7/22/2019,256,258,252,253,4282
7/23/2019,255,258.5,254,255,4603
7/24/2019,259.5,260.5,255,255.5,3519
7/25/2019,256,258.5,253.5,258,3647
7/26/2019,258,259.5,256,259.5,3596
7/29/2019,260,260.5,256.5,258.5,3226
7/30/2019,262.5,266,262,264.5,10812
7/31/2019,264.5,266,260,266,5097
8/1/2019,264.5,269,263.5,266,5521
8/2/2019,261,263,257.5,257.5,5413
8/5/2019,259,271,258,260,14334
8/6/2019,254,259.5,251.5,258.5,7296
8/7/2019,259.5,260.5,250.5,250.5,6460
8/8/2019,254,257.5,253,257,4973
8/12/2019,259,269,256.5,268.5,8710
8/13/2019,268.5,268.5,262.5,266.5,4455
8/14/2019,272,274,268.5,268.5,6495
8/15/2019,263,265.5,262,264.5,4689
8/16/2019,264.5,266,263,263.5,4081
8/19/2019,266,267,262.5,264.5,4533
8/20/2019,266,268,265,265.5,5395
8/21/2019,265.5,266,257.5,257.5,7961
8/22/2019,259,260,253,253,6235
8/23/2019,254.5,261,254,258,12292
8/26/2019,213,215.5,208.5,209,13714
8/27/2019,212,213,203,203,8805
8/28/2019,205,207.5,203,204.5,7911
8/29/2019,206,207,204,206.5,4462
8/30/2019,213,227,212,227,23099
9/2/2019,233,238.5,230,236,21846
9/3/2019,236,237.5,232.5,235.5,9323
9/4/2019,237.5,238.5,233.5,234.5,8310
9/5/2019,238,243,235,238,13138
9/6/2019,241,243,237,237,6856
9/9/2019,237.5,239,232.5,233,6490
9/10/2019,233.5,234.5,228,228.5,5963
