Date,Close
12/9/2019,316
12/10/2019,313.5
12/11/2019,319
12/12/2019,331.5
12/13/2019,339
12/16/2019,336
12/17/2019,345
12/18/2019,344.5
12/19/2019,335
12/20/2019,329
12/23/2019,334
12/24/2019,332
12/25/2019,333
12/26/2019,333
12/27/2019,338
12/30/2019,334.5
12/31/2019,331
1/2/2020,339
1/3/2020,339.5
1/6/2020,332
1/7/2020,329.5
1/8/2020,329.5
1/9/2020,337.5
1/10/2020,339.5
1/13/2020,341.5
1/14/2020,346
1/15/2020,340
1/16/2020,334.5
1/17/2020,333
1/20/2020,333
1/30/2020,316.5
1/31/2020,320
2/3/2020,315
2/4/2020,325
2/5/2020,327.5
2/6/2020,332.5
2/7/2020,328
2/10/2020,327.5
2/11/2020,331.5
2/12/2020,335
2/13/2020,335
2/14/2020,335
2/17/2020,331.5
2/18/2020,322
2/19/2020,326.5
2/20/2020,325.5
2/21/2020,325
2/24/2020,320
2/25/2020,322
2/26/2020,318.5
2/27/2020,316
3/2/2020,311
3/3/2020,317.5
3/4/2020,320.5
3/5/2020,323
3/6/2020,315
3/9/2020,305.5
3/10/2020,307
3/11/2020,302
3/12/2020,294
3/13/2020,290
3/16/2020,276.5
3/17/2020,268
3/18/2020,260
3/19/2020,248
3/20/2020,270
3/23/2020,255
3/24/2020,267.5
3/25/2020,277
3/26/2020,280
3/27/2020,273
3/30/2020,267.5
3/31/2020,274
4/1/2020,271.5
4/6/2020,275.5
4/7/2020,283
4/8/2020,285
4/9/2020,283
4/10/2020,279.5
4/13/2020,278.5
4/14/2020,285
4/15/2020,287.5
4/16/2020,286.5
4/17/2020,306.5
4/20/2020,304
4/21/2020,295
4/22/2020,294
4/23/2020,295.5
4/24/2020,294
4/27/2020,298
4/28/2020,296.5
4/29/2020,299
4/30/2020,304.5
5/4/2020,295
5/5/2020,295.5
5/6/2020,296
5/7/2020,297.5
5/8/2020,297.5
5/11/2020,301
5/12/2020,295
5/13/2020,297
5/14/2020,293
5/15/2020,298
5/18/2020,290
5/19/2020,291.5
5/20/2020,294
5/21/2020,297.5
5/22/2020,292
5/25/2020,292
5/26/2020,295.5
5/27/2020,296.5
5/28/2020,294
5/29/2020,292
6/1/2020,295.5
6/2/2020,296.5
6/3/2020,301
6/4/2020,306
6/5/2020,311.5
6/8/2020,318
6/9/2020,319
6/10/2020,322.5
6/11/2020,320.5
6/12/2020,316
6/15/2020,309.5
6/16/2020,315
6/17/2020,315
6/18/2020,314.5
6/19/2020,314.5
6/22/2020,312
6/23/2020,315
6/24/2020,317.5
6/29/2020,312
6/30/2020,313
7/1/2020,317.5
7/2/2020,322
7/3/2020,329.5
7/6/2020,338
7/7/2020,338.5
7/8/2020,341
7/9/2020,345
7/10/2020,348.5
7/13/2020,354.5
7/14/2020,363.5
7/15/2020,363
7/16/2020,357.5
7/17/2020,367
7/20/2020,366
7/21/2020,383
7/22/2020,384
7/23/2020,381.5
7/24/2020,386
7/27/2020,424.5
7/28/2020,435
7/29/2020,422
7/30/2020,434
7/31/2020,425.5
8/3/2020,416
8/4/2020,425.5
8/5/2020,429
8/6/2020,435
8/7/2020,433
8/10/2020,435.5
8/11/2020,429
8/12/2020,419
8/13/2020,429
8/14/2020,427
8/17/2020,435
8/18/2020,433
8/19/2020,427.5
8/20/2020,415
8/21/2020,424.5
8/24/2020,428
8/25/2020,434.5
8/26/2020,442
8/27/2020,444
8/28/2020,435
8/31/2020,426.5
9/1/2020,435
9/2/2020,433
9/3/2020,436
9/4/2020,429
9/7/2020,426
9/8/2020,431
9/9/2020,427
9/10/2020,435
9/11/2020,436.5
9/14/2020,441
9/15/2020,445
9/16/2020,458
9/17/2020,448.5
9/18/2020,444
9/21/2020,440
9/22/2020,437
9/23/2020,433.5
9/24/2020,423
9/25/2020,424
9/28/2020,431.5
9/29/2020,431
9/30/2020,433
10/5/2020,432.5
10/6/2020,439.5
10/7/2020,443
10/8/2020,453
10/12/2020,460
10/13/2020,462
10/14/2020,459
10/15/2020,453
10/16/2020,449
10/19/2020,457.5
10/20/2020,451
10/21/2020,453
10/22/2020,455
10/23/2020,452
10/26/2020,450
10/27/2020,447
10/28/2020,444
10/29/2020,437
10/30/2020,432
