Date,Open,High,Low,Close,Volume
11/2/2017,117,118.5,115.5,116,3565
11/3/2017,114.5,115,109,110.5,7094
11/6/2017,112,113.5,108,113,4935
11/7/2017,112,113,110,110,2085
11/8/2017,109.5,118.5,109.5,117,6601
11/9/2017,118.5,121,110.5,112,5632
11/10/2017,113,116,110,115,4683
11/13/2017,113,116,110,110,3114
11/14/2017,112,114,109.5,113,3853
11/15/2017,106,107.5,102,102,8662
11/16/2017,100,103,98.6,102,5199
11/17/2017,104,107.5,104,104,5011
11/20/2017,105,106.5,102,102,2365
11/21/2017,102.5,104,102.5,102.5,1792
11/22/2017,104.5,108.5,103.5,105,4231
11/23/2017,104.5,105,101,104.5,3107
11/24/2017,103.5,106.5,102.5,102.5,2178
11/27/2017,102.5,103.5,100,100,1713
11/28/2017,100,100,90.2,90.7,8009
11/29/2017,91.5,94.7,90.7,92.5,5263
11/30/2017,89.8,92,88,91.4,5058
12/1/2017,92,93.8,88.9,88.9,3442
12/4/2017,86.2,86.9,80.1,80.1,6998
12/5/2017,79,83,78.6,80.6,5905
12/6/2017,80.6,87.8,80.6,82.5,9003
12/7/2017,84.5,86.8,83.8,86.3,6709
12/8/2017,87.9,94.9,85.1,94.9,9913
12/11/2017,98,101.5,97.1,100.5,12825
12/12/2017,101,104.5,99.3,100.5,8994
12/13/2017,100.5,103,97.7,98.8,5362
12/14/2017,101,108.5,101,108.5,13798
12/15/2017,110,113.5,107.5,113.5,20158
12/18/2017,116.5,119,115,115.5,15379
12/19/2017,116,117.5,112,113,7102
12/20/2017,114,116,112.5,113.5,5963
12/21/2017,114.5,117.5,111.5,111.5,6524
12/22/2017,113.5,117,112.5,115.5,7666
12/25/2017,116,116.5,114,114,3619
12/26/2017,114.5,115,103,103,7848
12/27/2017,103,109.5,101.5,109.5,7396
12/28/2017,112,112.5,108,108,5175
12/29/2017,107.5,110,106.5,109.5,3440
1/2/2018,108.5,111.5,106.5,110,2956
1/3/2018,113,116.5,112.5,113.5,8949
1/4/2018,113,113.5,107.5,111,5072
1/5/2018,109,110,108,108,2478
1/8/2018,109,112,107.5,107.5,3555
1/9/2018,109.5,111,102.5,103,5036
1/10/2018,104,105,101,103,3243
1/11/2018,103,106,100.5,106,3490
1/12/2018,105,110,105,107,4213
1/15/2018,106,107.5,104.5,105,2118
1/16/2018,105,106.5,103.5,104,2723
1/17/2018,104,109,103.5,107.5,5289
1/18/2018,110,112,105,105.5,5251
1/19/2018,105.5,106.5,104,104.5,1717
1/22/2018,103.5,106.5,103,105.5,2519
1/23/2018,106,106.5,102.5,102.5,1996
1/24/2018,102,102.5,97.6,102,4359
1/25/2018,100.5,103.5,100.5,101,1952
1/26/2018,100.5,104,99,103,3031
1/29/2018,103.5,112,103,109,6746
1/30/2018,108,109.5,105.5,105.5,3719
1/31/2018,106.5,115,103.5,112.5,11461
2/1/2018,114,115,110,110,7212
2/2/2018,109,114,109,109.5,5182
2/5/2018,104,108.5,103.5,106,4651
2/6/2018,101.5,102,95.4,95.4,6750
2/7/2018,98.7,102.5,97,97,4476
2/8/2018,99,100.5,95.5,97.4,3083
2/9/2018,88.5,95.6,88.5,94.5,2798
2/12/2018,98.5,98.5,94,94.1,1613
2/21/2018,96.7,101,95.9,98.5,2751
2/22/2018,98.8,108,98,108,9085
2/23/2018,113.5,118.5,113.5,118.5,13217
2/26/2018,123,123.5,115.5,117,19743
2/27/2018,119,120,111,112.5,8261
3/1/2018,111.5,123.5,111,123.5,19791
3/2/2018,120,122.5,118.5,122.5,18185
3/5/2018,127,129,117.5,117.5,19936
3/6/2018,122,123,117,120,9058
3/7/2018,118,121.5,117,117.5,6569
3/8/2018,120,122,116.5,118,8123
3/9/2018,120.5,126.5,119.5,121,18649
3/12/2018,124.5,126,121,121,8793
3/13/2018,123,123.5,119,120,6346
3/14/2018,120,122.5,117.5,119,7428
3/15/2018,118,119,114.5,119,4911
3/16/2018,120,123,118,118.5,8952
3/19/2018,117.5,121,117.5,119,4669
3/20/2018,118,119,117,118,2730
3/21/2018,119.5,121.5,117,117,5255
3/22/2018,118.5,119,115,115,4146
3/23/2018,108,111,107.5,110,4844
3/26/2018,109.5,112.5,109.5,112,2852
3/27/2018,115,115.5,112.5,112.5,2523
3/28/2018,110.5,110.5,106.5,108.5,4441
3/29/2018,107,107.5,100,104,8250
3/30/2018,106,106,101,102,4798
3/31/2018,102,105,102,104,2340
4/2/2018,103,104,100,102.5,3246
4/3/2018,100,104,99.7,104,2391
4/9/2018,106,111.5,105.5,110.5,7073
4/10/2018,110,110,107.5,109,2692
4/11/2018,113,114,107.5,107.5,3193
4/12/2018,108.5,109.5,106,108.5,1832
4/13/2018,109.5,109.5,107.5,108,1468
4/16/2018,111.5,115,110,111.5,6147
4/17/2018,110.5,111,107,107,2666
4/18/2018,108.5,110,107,107.5,1615
4/19/2018,109,111.5,108.5,108.5,2071
4/20/2018,107,111.5,107,109,3023
4/23/2018,110,111.5,105,107,2733
4/24/2018,105.5,106,100,101,1707
4/25/2018,100,103,100,102,1048
4/26/2018,104,105.5,100,100,1272
4/27/2018,101,102.5,94,97,5555
4/30/2018,98,99.2,96.3,97.1,1757
5/2/2018,98.1,98.8,93.1,93.3,2316
5/3/2018,93.3,94.6,92,93.3,1855
5/4/2018,93.3,94.6,90,94.3,2397
5/7/2018,94,95.5,93.6,94.4,1506
5/8/2018,94.8,103,94.7,98.1,5143
5/9/2018,101,103.5,99.6,99.6,4096
5/10/2018,101,102,99.4,100,2642
5/11/2018,101,101.5,97,97,2020
5/14/2018,97.3,101.5,96.6,100.5,2571
5/15/2018,99.5,100,97.5,97.5,1776
5/16/2018,97.5,99.3,97,97,1134
5/17/2018,97.6,98.4,94.8,95.6,1188
5/18/2018,96.1,96.3,93.6,94.4,1229
5/21/2018,94.8,99.4,94.2,98.5,2450
5/22/2018,100,101,98.1,98.2,2598
5/23/2018,98.3,98.8,96.3,96.3,985
5/24/2018,96.8,97.7,95.3,97.5,1042
5/25/2018,97.6,98.1,96.6,96.6,974
5/28/2018,97.6,99.9,97.2,97.8,1634
5/29/2018,98.2,98.6,95.8,95.8,1167
5/30/2018,97.5,105,97.2,105,13709
5/31/2018,108,109.5,102,102,10554
6/1/2018,103,106,102,102,2521
6/4/2018,104,104.5,101.5,104.5,3011
6/5/2018,106.5,109.5,104.5,105,6136
6/6/2018,105.5,106.5,103.5,103.5,2391
6/7/2018,109,112,107,107,8088
6/8/2018,107.5,108.5,105.5,108,3087
6/11/2018,112.5,113,108.5,109,4264
6/12/2018,112,119,111.5,113.5,14993
6/13/2018,117,118,109,109,6352
6/14/2018,109,111,107.5,109,2239
6/15/2018,112,113,109,109.5,3293
6/19/2018,110.5,112.5,107,107,2213
6/20/2018,107,107,98.7,102,3787
6/21/2018,103,104,100,100.5,1647
6/22/2018,99,100.5,98,99.1,1272
6/25/2018,99.2,101,99.1,99.2,939
6/26/2018,97.7,98.5,95.4,98.5,1810
6/27/2018,99.8,101,98,98,1551
6/28/2018,99.5,99.5,96.4,97.3,979
6/29/2018,98.4,101,98.2,99.8,1365
7/2/2018,100,101,99.1,99.1,1328
7/3/2018,100,105,100,101,5002
7/4/2018,98.4,98.6,94,95.8,5265
7/5/2018,93.8,96.8,93.8,94.3,1654
7/6/2018,95,96.3,92.5,94.7,1511
7/9/2018,95.1,96.2,92.7,92.7,1153
7/10/2018,92,94.2,92,94.1,968
7/11/2018,93.1,93.6,92.2,93.2,704
7/12/2018,93.5,94.5,92.3,94,712
7/13/2018,95.5,98,94.6,95.5,2007
7/16/2018,95.5,96.3,94.8,95,815
7/17/2018,95,96.8,94.2,94.2,1232
7/18/2018,96,96,94.1,94.2,677
7/19/2018,95.4,95.5,91.5,92,970
7/20/2018,92.5,93.4,91.2,92,1057
7/23/2018,92.4,92.4,88.3,88.9,1877
7/24/2018,89,92,87.2,91.6,1321
7/25/2018,92,92.3,91,91.1,686
7/26/2018,91.9,92.1,91.3,91.4,345
7/27/2018,91.5,91.9,90.8,91.2,368
7/30/2018,91.1,91.1,88.7,89,1034
7/31/2018,89,89.8,88.5,89.1,455
8/1/2018,90.2,92.1,90.1,91,805
8/2/2018,94.6,96,92.6,92.6,3155
8/3/2018,96,96.9,94.2,94.5,2674
8/6/2018,95,95.2,93,93.3,649
8/7/2018,93.8,95,92.5,94.5,1064
8/8/2018,96.7,99.3,96.7,97.1,3862
8/9/2018,96.9,97.2,95.3,95.9,983
8/10/2018,95.9,97,95,95.6,1060
8/13/2018,95.3,95.3,89,92,1574
8/14/2018,93,95.9,90.5,95.4,1061
8/15/2018,94.2,94.8,93.2,93.6,702
8/16/2018,92.8,95.2,92,94.8,977
8/17/2018,96.3,97.8,95.3,96.7,1812
8/20/2018,96.7,98.9,95.5,96.7,1501
8/21/2018,97,97.2,94.2,94.3,736
8/22/2018,94.5,95.9,94,94.2,535
8/23/2018,94.9,94.9,91.5,92.2,1002
8/24/2018,89.8,89.8,80.9,81,6033
8/27/2018,82.5,83.4,81.7,83.4,1506
8/28/2018,83.5,83.6,81.5,82.8,1264
8/29/2018,82.8,83.2,82,82.9,500
8/30/2018,83.5,84.4,82.1,82.7,983
8/31/2018,82.5,83.6,82.2,83.1,826
9/3/2018,83.4,83.4,78.2,79,1854
9/4/2018,79.8,80.2,78.8,79.8,824
9/5/2018,79.8,81.2,79,79.9,1071
9/6/2018,79.9,80.6,77,79.4,857
9/7/2018,79.4,80.3,75.4,75.6,1210
9/10/2018,75,75,68.1,68.1,3856
9/11/2018,70.3,71.3,68.8,70.2,1302
9/12/2018,70.2,71,68.9,70.9,926
9/13/2018,71.3,73.5,71.3,72.6,932
9/14/2018,73,75.9,72.9,75.9,1367
9/17/2018,76,77.2,75,76.4,672
9/18/2018,75,75.3,73,73.1,732
9/19/2018,73.6,75,73,73,563
9/20/2018,73.9,74.2,71.1,71.1,688
9/21/2018,71.6,73.5,70.1,73,710
9/25/2018,74.9,80.3,74.9,78.6,5186
9/26/2018,78.3,78.5,76.1,77.5,1936
9/27/2018,78.1,79.8,75.9,75.9,4549
9/28/2018,75.1,75.1,71.6,74,2682
10/1/2018,72.7,76,72.7,74.8,998
10/2/2018,76.5,78.4,75.1,75.1,1964
10/3/2018,74.5,75.8,73,73.2,790
10/4/2018,72.8,74,72.3,72.7,522
10/5/2018,71.7,72.5,66.7,68.8,1533
10/8/2018,68.5,70.8,67.3,69.1,732
10/9/2018,70.9,70.9,66,66,1054
10/11/2018,60.1,60.9,59.4,59.4,1493
10/12/2018,55,61.2,55,60.6,1238
10/15/2018,61,62.9,59.5,61,1116
10/16/2018,60.7,62.7,60.6,61,608
10/17/2018,63.3,63.4,61.6,61.7,659
10/18/2018,61.5,62.5,60.6,61.1,325
10/19/2018,59.5,59.9,58,59,611
10/22/2018,58.4,60.9,58.3,60.5,492
10/23/2018,60,60.7,58.8,58.8,418
10/24/2018,60.5,61.8,60,60,1738
10/25/2018,58.9,62,57.7,61.2,3728
10/26/2018,62.7,64.2,58.6,58.7,3491
10/29/2018,59,60.9,58.2,58.7,1356
10/30/2018,59.1,59.5,54.7,56.9,1693
10/31/2018,57.6,62.5,57.6,62.5,4815
